127.0.0.1, 2013-07-10 12:06:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000968
127.0.0.1, 2013-07-10 12:07:28, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.533606
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000964
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.000987
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.000406
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.001039
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.000985
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000397
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000999
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000933
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000386
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000959
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001036
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.000398
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.000441
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.001006
127.0.0.1, 2013-07-10 12:07:29, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.001009
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.122503
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001070
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.001042
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.001084
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.000992
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.000979
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000989
127.0.0.1, 2013-07-10 12:46:24, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001036
